,rooms,garages,useful_area,latitude,longitude,value,interior_quality,time_on_market,sold
4435,3.0,1.0,130,-23.5475567,-46.653437,1221160,3,15,0
5936,3.0,2.0,99,-23.6096866,-46.6309737,1019190,3,50,1
1886,2.0,1.0,72,-23.626396,-46.6854707,794247,2,5,0
1148,3.0,2.0,115,-23.5242893,-46.6928267,811593,2,14,1
14529,2.0,1.0,80,-23.5921157,-46.6353539,606597,3,15,0
2826,3.0,2.0,211,-23.6385523,-46.6999185,1495520,2,4,1
17860,2.0,1.0,68,-23.5414756,-46.585858,348963,2,77,0
15327,2.0,1.0,70,-23.5893343,-46.6786127,692770,3,15,1
16119,2.0,1.0,72,-23.6055203,-46.6674577,722438,3,104,0
3440,1.0,1.0,40,-23.567137,-46.6959428,352260,2,71,1
10199,3.0,1.0,180,-23.567385,-46.6647065,1783680,1,35,1
6893,1.0,1.0,53,-23.589927,-46.6247419,441503,2,27,1
417,3.0,2.0,84,-23.5413081,-46.6883673,1048140,3,63,1
15252,2.0,2.0,120,-23.5988711,-46.68355,1176240,3,34,0
10537,3.0,1.0,112,-23.567205,-46.6631831,1313940,3,15,0
3759,1.0,2.0,48,-23.5965821,-46.6674053,1047460,3,25,1
14979,3.0,1.0,88,-23.5878205,-46.6008544,578952,3,8,1
9715,3.0,2.0,167,-23.567502,-46.66201,2449910,3,24,1
11285,4.0,1.0,160,-23.611354,-46.684543,2542230,3,23,1
14182,3.0,2.0,97,-23.587853,-46.631698,1061730,3,86,0
2805,2.0,3.0,205,-23.614685,-46.6776814,2026240,2,29,0
14081,3.0,1.0,147,-23.5706663,-46.6490711,1472290,3,17,1
12752,3.0,2.0,115,-23.6257665,-46.7310478,671235,3,69,1
6298,3.0,2.0,92,-23.6347755,-46.6386289,935070,2,77,1
6038,3.0,2.0,189,-23.6010016,-46.6110058,1812850,3,24,0
6886,2.0,1.0,109,-23.585,-46.627,922352,2,33,0
7985,3.0,2.0,153,-23.497149,-46.693001,837544,2,61,0
14912,3.0,2.0,134,-23.5870387,-46.6005503,795555,3,19,1
17201,1.0,1.0,50,-23.5607815,-46.6408726,504674,3,3,1
10622,3.0,1.0,100,-23.5595158,-46.6621649,1094110,3,72,0
8457,3.0,2.0,90,-23.542025,-46.6733841,837118,3,8,1
3857,4.0,3.0,280,-23.5912459,-46.6668811,4200700,3,9,0
17165,2.0,1.0,80,-23.5713184,-46.6349529,554962,2,15,0
9270,4.0,3.0,360,-23.5833997,-46.6748732,5165890,2,6,1
1777,3.0,2.0,112,-23.5517033,-46.690329,890518,3,69,0
5731,2.0,1.0,66,-23.6303586,-46.6359882,329842,3,46,0
2136,2.0,1.0,72,-23.6469613,-46.7005175,535912,2,12,1
3220,2.0,2.0,65,-23.5636766,-46.6859704,851720,2,69,0
10964,3.0,4.0,400,-23.612107,-46.7076142,2521070,3,148,0
11711,4.0,6.0,277,-23.6016756,-46.7255005,2655580,2,7,1
7395,2.0,1.0,89,-23.5381849,-46.6669834,801467,3,10,0
6160,2.0,1.0,71,-23.6241701,-46.6018279,347399,2,34,0
4257,3.0,1.0,148,-23.5427698,-46.6542995,1299620,3,66,1
17408,4.0,4.0,343,-23.5695445,-46.6362436,2951160,2,125,1
16000,2.0,1.0,80,-23.6361431,-46.6407892,510372,2,4,0
6361,4.0,2.0,91,-23.6032617,-46.6272669,1130090,3,59,1
3765,3.0,3.0,266,-23.5955223,-46.6692071,2732740,3,38,1
1012,4.0,3.0,183,-23.5404437,-46.6809437,1804940,3,122,0
7076,3.0,2.0,87,-23.5760059,-46.6149198,773700,2,4,1
5978,3.0,1.0,76,-23.6073952,-46.6238176,584421,3,46,1
15276,1.0,1.0,45,-23.5950382,-46.6753514,484589,2,89,1
14441,3.0,1.0,100,-23.5880387,-46.6427463,845416,3,47,1
9521,5.0,5.0,372,-23.5620069,-46.6617199,8494160,2,107,0
17839,4.0,4.0,157,-23.5525658,-46.5747897,1331230,3,53,0
6698,4.0,3.0,170,-23.5940481,-46.6077557,1390140,3,119,1
14006,4.0,6.0,484,-23.574973,-46.6505731,7155950,3,112,0
7117,2.0,1.0,70,-23.5757187,-46.6268953,536915,1,56,0
15601,1.0,1.0,74,-23.6019387,-46.6774164,1267830,2,11,1
6791,3.0,1.0,70,-23.6058637,-46.6294683,630386,3,38,0
11406,2.0,1.0,60,-23.6112537,-46.6819535,592782,3,20,1
6740,2.0,1.0,145,-23.6227056,-46.6364697,1115570,2,45,0
17713,2.0,1.0,56,-23.5607554,-46.5792841,414716,3,132,1
8825,3.0,1.0,145,-23.5831234,-46.6791608,2030370,3,14,1
11967,2.0,2.0,111,-23.602792,-46.6947674,1435780,3,62,1
14306,2.0,1.0,92,-23.5716457,-46.6419215,952941,3,14,1
