,rooms,garages,useful_area,latitude,longitude,value,interior_quality
13517,2.0,1.0,98,-23.5710868,-46.6477333,867119,3
10816,3.0,3.0,230,-23.5749749,-46.6547972,2647680,3
577,4.0,3.0,280,-23.543014,-46.7076817,4127640,2
7485,3.0,2.0,122,-23.4943632,-46.6271619,1167510,3
6807,4.0,4.0,315,-23.6116446,-46.6330522,3242880,2
13180,3.0,2.0,116,-23.5895108,-46.6418642,1566550,3
7309,3.0,2.0,230,-23.536281,-46.6809342,2657120,2
1169,4.0,2.0,140,-23.5249979,-46.7309089,1319610,3
6628,3.0,2.0,81,-23.6267187,-46.6355364,702998,3
4225,2.0,1.0,76,-23.5381779,-46.659244,817293,3
1986,3.0,2.0,100,-23.6472723,-46.7050823,1018810,2
4067,3.0,2.0,126,-23.536558,-46.655327,1365150,3
13951,2.0,1.0,79,-23.5854885,-46.6469588,837409,3
11397,4.0,4.0,220,-23.6099733,-46.7071653,1448950,3
17138,3.0,1.0,140,-23.5609887,-46.6684541,1579150,3
11510,1.0,1.0,48,-23.6177269,-46.7325426,292334,3
8232,3.0,2.0,95,-23.4964369,-46.6234237,917571,2
10171,3.0,1.0,120,-23.5613982,-46.6503783,1283170,3
10757,3.0,2.0,250,-23.5693443,-46.6632495,2726160,3
10603,3.0,1.0,160,-23.5660526,-46.6624552,1820360,2
10105,3.0,2.0,270,-23.5656402,-46.6576189,2939180,3
3953,4.0,3.0,240,-23.5988736,-46.6655213,2742400,3
12577,3.0,3.0,250,-23.6133103,-46.7374391,1486750,3
2037,2.0,1.0,49,-23.6350191,-46.6653232,469833,2
2362,1.0,1.0,50,-23.6435753,-46.6651381,323950,2
6488,2.0,1.0,57,-23.6127407,-46.6332796,452368,3
8586,3.0,1.0,170,-23.5368159,-46.6689473,1264870,2
12115,4.0,3.0,152,-23.6133103,-46.7374391,903942,3
227,3.0,3.0,166,-23.5509295,-46.6986027,2300630,3
13732,2.0,1.0,90,-23.5687196,-46.6457724,822583,3
16584,4.0,3.0,104,-23.604912,-46.662269,1421230,3
5119,3.0,1.0,165,-23.5381047,-46.6546391,1037330,3
9180,2.0,2.0,140,-23.5880953,-46.6796849,2798350,1
6607,2.0,1.0,75,-23.5932582,-46.6257676,671893,3
11946,2.0,2.0,124,-23.6123054,-46.7055411,1089500,3
7337,2.0,1.0,63,-23.5355598,-46.6774118,525566,3
11395,2.0,2.0,78,-23.601446,-46.717651,699255,3
2774,4.0,3.0,206,-23.6193939,-46.6813057,2225770,3
10471,3.0,2.0,160,-23.5631297,-46.6595924,2051080,3
190,4.0,4.0,288,-23.522393,-46.731471,3369250,3
10463,3.0,1.0,160,-23.5714181,-46.6580318,1951460,2
8413,4.0,5.0,291,-23.534686,-46.6719286,3942820,3
13710,3.0,4.0,128,-23.576324,-46.6466657,1974140,2
9404,3.0,1.0,170,-23.5798628,-46.6859155,3049790,2
14395,3.0,1.0,126,-23.5914237,-46.6351363,1132850,3
13146,2.0,4.0,206,-23.5822077,-46.6485237,2020850,3
15367,3.0,3.0,172,-23.5894772,-46.6851051,2492750,3
6655,3.0,2.0,69,-23.604,-46.616,637986,3
2033,2.0,1.0,73,-23.6468885,-46.668924,595815,3
10661,3.0,1.0,117,-23.569472,-46.6522335,1585830,3
4253,2.0,1.0,55,-23.5468736,-46.6575477,633947,3
13361,3.0,2.0,80,-23.6014338,-46.6355275,986838,3
6054,3.0,2.0,84,-23.6227609,-46.6363401,823598,3
14665,3.0,2.0,167,-23.5594468,-46.678318,2183490,2
5136,1.0,1.0,45,-23.541532,-46.6536231,623328,3
13410,2.0,1.0,134,-23.5673735,-46.6472484,1119680,3
16709,2.0,1.0,55,-23.6026026,-46.6459459,482698,3
17124,1.0,1.0,42,-23.5598361,-46.6634918,616145,2
4326,3.0,1.0,245,-23.5434231,-46.6533286,2745560,1
11410,3.0,4.0,290,-23.6366667,-46.73,1944870,2
15632,2.0,1.0,60,-23.617113,-46.640661,417146,3
13945,2.0,1.0,57,-23.578738,-46.642185,764468,3
17503,3.0,2.0,160,-23.5656585,-46.6451289,1275560,2
11335,3.0,3.0,128,-23.6298227,-46.7295058,777381,3
1677,4.0,4.0,240,-23.531829,-46.7254665,2807710,3
7023,3.0,1.0,75,-23.5705763,-46.6241664,551098,2
4964,4.0,2.0,300,-23.54431,-46.6556078,3496750,1
16913,2.0,1.0,120,-23.5603841,-46.6660377,1397940,1
7289,2.0,1.0,47,-23.5288458,-46.6537832,550703,3
