,Apartment_ID,Rooms,Garage,Useful_Area,Latitude,Longitude,Seller_Value,Condition,Coordinates,Action,County
32,9180,2.0,2.0,140,-23.5880953,-46.6796849,2798350,1,"-23.5880953, -46.6796849",Buy,Itaim Bibi
67,16913,2.0,1.0,120,-23.5603841,-46.666037700000004,1397940,1,"-23.5603841, -46.666037700000004",Buy,Jardim Paulista
82,1149,3.0,1.0,75,-23.5313069,-46.7296441,670972,1,"-23.5313069, -46.7296441",Buy,Vila Leopoldina
99,1539,3.0,1.0,87,-23.5392826,-46.7161162,610236,1,"-23.5392826, -46.7161162",Buy,Alto de Pinheiros
104,13813,2.0,1.0,85,-23.577627,-46.64196,572555,1,"-23.577627, -46.64196",Buy,Vila Mariana
143,4427,3.0,2.0,159,-23.5413225,-46.6600811,1541390,1,"-23.5413225, -46.6600811",Buy,Consolação
149,13125,3.0,3.0,115,-23.589961199999998,-46.628627,952192,1,"-23.589961199999998, -46.628627",Buy,Vila Mariana
155,13341,3.0,1.0,90,-23.585171300000003,-46.6446696,704301,1,"-23.585171300000003, -46.6446696",Buy,Vila Mariana
201,4890,2.0,1.0,106,-23.537054,-46.654065,1148460,1,"-23.537054, -46.654065",Buy,Região Imediata de São Paulo
202,1337,2.0,3.0,140,-23.540126899999997,-46.679508399999996,1409730,1,"-23.540126899999997, -46.679508399999996",Buy,Perdizes
220,1533,3.0,3.0,131,-23.5439368,-46.7224484,1433350,1,"-23.5439368, -46.7224484",Buy,Alto de Pinheiros
229,15996,2.0,1.0,63,-23.6321387,-46.64049979999999,559138,1,"-23.6321387, -46.64049979999999",Buy,Jabaquara
239,13509,3.0,2.0,81,-23.578471899999997,-46.635058,847448,1,"-23.578471899999997, -46.635058",Buy,Vila Mariana
246,16973,2.0,1.0,80,-23.5573903,-46.664541799999995,921648,1,"-23.5573903, -46.664541799999995",Buy,Cerqueira César
257,345,2.0,1.0,55,-23.555021300000003,-46.6965765,532095,1,"-23.555021300000003, -46.6965765",Buy,Pinheiros
281,10049,3.0,1.0,141,-23.565144,-46.6561721,1713810,1,"-23.565144, -46.6561721",Buy,Jardim Paulista
288,10582,3.0,1.0,175,-23.567607000000002,-46.658592999999996,1918160,1,"-23.567607000000002, -46.658592999999996",Buy,Jardim Paulista
291,16067,2.0,1.0,88,-23.6151088,-46.6589862,574665,1,"-23.6151088, -46.6589862",Buy,Saúde
337,851,3.0,2.0,130,-23.5429662,-46.682841700000004,1282200,1,"-23.5429662, -46.682841700000004",Buy,Sumaré
340,656,3.0,2.0,126,-23.5422603,-46.70325020000001,1177910,1,"-23.5422603, -46.70325020000001",Buy,Alto de Pinheiros
345,7232,3.0,1.0,80,-23.5708187,-46.6280389,611256,1,"-23.5708187, -46.6280389",Buy,Aclimação
358,14766,3.0,2.0,134,-23.5809272,-46.5899919,814274,1,"-23.5809272, -46.5899919",Buy,Região Imediata de São Paulo
398,236,2.0,1.0,85,-23.539367000000002,-46.680335,838258,1,"-23.539367000000002, -46.680335",Buy,Perdizes
476,7086,2.0,1.0,75,-23.5679329,-46.62566470000001,634646,1,"-23.5679329, -46.62566470000001",Buy,Liberdade
537,16102,2.0,1.0,52,-23.6199984,-46.6404718,487190,1,"-23.6199984, -46.6404718",Buy,Saúde
584,12827,2.0,2.0,119,-23.6003027,-46.7300304,761486,1,"-23.6003027, -46.7300304",Buy,Região Imediata de São Paulo
592,17033,3.0,1.0,169,-23.5625141,-46.6663206,2020110,1,"-23.5625141, -46.6663206",Buy,Cerqueira César
603,3294,2.0,2.0,134,-23.5637016,-46.6848775,1236310,1,"-23.5637016, -46.6848775",Buy,Pinheiros
607,10109,2.0,2.0,59,-23.5683698,-46.6555783,696074,1,"-23.5683698, -46.6555783",Buy,Jardim Paulista
614,16863,3.0,1.0,120,-23.557420999999998,-46.6662968,1760410,1,"-23.557420999999998, -46.6662968",Buy,Cerqueira César
620,2652,3.0,3.0,127,-23.6463603,-46.6692059,947959,1,"-23.6463603, -46.6692059",Buy,Região Imediata de São Paulo
637,16275,2.0,1.0,86,-23.603928600000003,-46.6663275,961263,1,"-23.603928600000003, -46.6663275",Buy,Moema
657,14922,3.0,1.0,54,-23.5467306,-46.5897511,399935,1,"-23.5467306, -46.5897511",Buy,Belém
705,17109,2.0,2.0,100,-23.5614403,-46.6665201,970085,1,"-23.5614403, -46.6665201",Buy,Jardim Paulista
709,5169,3.0,1.0,129,-23.538265600000003,-46.6599718,1153570,1,"-23.538265600000003, -46.6599718",Buy,Santa Cecília
714,14871,2.0,2.0,110,-23.583686399999998,-46.603164899999996,1147980,1,"-23.583686399999998, -46.603164899999996",Buy,Ipiranga
718,16841,3.0,2.0,145,-23.5587053,-46.6644569,1731280,1,"-23.5587053, -46.6644569",Buy,Jardim Paulista
744,15905,2.0,1.0,99,-23.617592000000002,-46.65803,535551,1,"-23.617592000000002, -46.65803",Buy,Região Imediata de São Paulo
754,12392,2.0,1.0,75,-23.604875,-46.6941388,696336,1,"-23.604875, -46.6941388",Buy,Itaim Bibi
774,11790,3.0,2.0,95,-23.6353103,-46.7345075,717463,1,"-23.6353103, -46.7345075",Buy,Vila Andrade
776,608,3.0,2.0,91,-23.5218396,-46.7112919,735140,1,"-23.5218396, -46.7112919",Buy,Lapa
